"Date ","Symbol ","Security Name ","Client Name ","Buy / Sell ","Quantity Traded ","Trade Price / Wght. Avg. Price ","Remarks "
"20-AUG-2019","MGL","Mahanagar Gas Ltd.","BG ASIA PACIFIC HOLDINGS PTE LIMITED","SELL","98,77,780","780.00","-"
"20-AUG-2019","MGL","Mahanagar Gas Ltd.","BHARTI AXA LIFE INSURANCE CO LTD","BUY","1,30,000","780.00","-"
"20-AUG-2019","MGL","Mahanagar Gas Ltd.","BIRLA MUTUAL FUND","BUY","6,85,000","780.00","-"
"20-AUG-2019","MGL","Mahanagar Gas Ltd.","CITIGROUP GLOBAL MARKETS MAURITIUS PRIVATE LIMITED","BUY","1,30,000","780.00","-"
"20-AUG-2019","MGL","Mahanagar Gas Ltd.","EASTSPRING INVESTMENTS INDIA INFRASTRUCTURE EQUITY OPEN LTD","BUY","2,33,585","780.00","-"
"20-AUG-2019","MGL","Mahanagar Gas Ltd.","GOLDMAN SACHS INDIA FUND LTD","BUY","6,73,330","780.00","-"
"20-AUG-2019","MGL","Mahanagar Gas Ltd.","GOVERNMENT PENSION FUND GLOBAL","BUY","1,30,000","780.00","-"
"20-AUG-2019","MGL","Mahanagar Gas Ltd.","HDFC MUTUAL FUND","BUY","6,85,000","780.00","-"
"20-AUG-2019","MGL","Mahanagar Gas Ltd.","HSBC GLOBAL INVESTMENT FUNDS INDIAN EQUITY","BUY","4,51,804","780.00","-"
"20-AUG-2019","MGL","Mahanagar Gas Ltd.","HSBC INDIAN EQUITY FUND","BUY","4,387","780.00","-"
"20-AUG-2019","MGL","Mahanagar Gas Ltd.","HSBC SAUDI ARABIA LIMITED A/C HSBC AMANAH CHINA AN D INDIA EQUITY FREESTYLE FUND","BUY","7,463","780.00","-"
"20-AUG-2019","MGL","Mahanagar Gas Ltd.","IDFC MUTUAL FUND","BUY","1,30,000","780.00","-"
"20-AUG-2019","MGL","Mahanagar Gas Ltd.","INTEGRATED CORE STRATEGIES ASIA PTE LTD","BUY","3,65,000","780.00","-"
"20-AUG-2019","MGL","Mahanagar Gas Ltd.","KEY SQUARE MASTER FUND II LP","BUY","97,272","780.00","-"
"20-AUG-2019","MGL","Mahanagar Gas Ltd.","KEY SQUARE MASTER FUND LP","BUY","2,67,728","780.00","-"
"20-AUG-2019","MGL","Mahanagar Gas Ltd.","KUWAIT INVESTMENT AUTH FD 225","BUY","1,31,415","780.00","-"
"20-AUG-2019","MGL","Mahanagar Gas Ltd.","L&T MUTUAL FUND","BUY","3,65,000","780.00","-"
"20-AUG-2019","MGL","Mahanagar Gas Ltd.","LGT SELECT FUNDS LGT SELECT EQUITY EMERGING MARKET S","BUY","1,17,471","780.00","-"
"20-AUG-2019","MGL","Mahanagar Gas Ltd.","MAX LIFE INSURANCE COMPANY LTD","BUY","3,65,000","780.00","-"
"20-AUG-2019","MGL","Mahanagar Gas Ltd.","MINE SUPERANNUATION FUND","BUY","62,854","780.00","-"
"20-AUG-2019","MGL","Mahanagar Gas Ltd.","MORGAN STANLEY ASIA SINGAPORE PTE","BUY","1,30,000","780.00","-"
"20-AUG-2019","MGL","Mahanagar Gas Ltd.","MORGAN STANLEY INVESTMENT FUNDS INDIAN EQUITY FUND","BUY","48,422","780.00","-"
"20-AUG-2019","MGL","Mahanagar Gas Ltd.","MS INDIA INVESTMENT FUND INC","BUY","1,31,578","780.00","-"
"20-AUG-2019","MGL","Mahanagar Gas Ltd.","RELIANCE MUTUAL FUND","BUY","6,85,000","780.00","-"
"20-AUG-2019","MGL","Mahanagar Gas Ltd.","SBI LIFE INSURANCE COMPANY LIMITED","BUY","6,85,000","780.00","-"
"20-AUG-2019","MGL","Mahanagar Gas Ltd.","SCHRODER INTERNATIONAL SELECTION FUND EMERGING ASI A","BUY","3,01,597","780.00","-"
"20-AUG-2019","MGL","Mahanagar Gas Ltd.","SCHRODER INTERNATIONAL SELECTION FUND INDIAN EQUIT Y","BUY","63,403","780.00","-"
"20-AUG-2019","MGL","Mahanagar Gas Ltd.","SOCIETE GENERALE","BUY","12,82,780","780.00","-"
"20-AUG-2019","MGL","Mahanagar Gas Ltd.","SUNDARAM MUTUAL FUND","BUY","1,30,000","780.00","-"
"20-AUG-2019","MGL","Mahanagar Gas Ltd.","THE MASTER TRUST BANK OF JAPAN LIMITED A/C HSBC IN DIAN EQUITY MOTHER FUND","BUY","2,06,086","780.00","-"
"20-AUG-2019","MGL","Mahanagar Gas Ltd.","THE MASTER TRUST BANK OF JAPANLTD. AS TRUSTEE OF H SBC INDIA INFRASTRUCTURE EQUITY MOTHER FUND","BUY","15,260","780.00","-"
"20-AUG-2019","MGL","Mahanagar Gas Ltd.","TRAFALGAR TRADING FUND INC","BUY","1,30,000","780.00","-"
"20-AUG-2019","MGL","Mahanagar Gas Ltd.","TT ASIA-PACIFIC EQUITY FUND","BUY","92,714","780.00","-"
"20-AUG-2019","MGL","Mahanagar Gas Ltd.","TT EMERGING MRKTS UNCONSTRAINED FD","BUY","1,49,310","780.00","-"
"20-AUG-2019","MGL","Mahanagar Gas Ltd.","TT HORIZON OPPORTUNITIES FD LTD","BUY","97,350","780.00","-"
"21-AUG-2019","TRIDENT","Trident Limited","TRIDENT CAPITAL LIMITED","SELL","18,00,000","56.75",
"21-AUG-2019","TRIDENT","Trident Limited","TRIDENT GROUP LIMITED","BUY","18,00,000","56.75",
"22-AUG-2019","ALKEM","Alkem Laboratories Ltd.","ADITYA BIRLA SUN LIFE MUTUAL FUND","BUY","7,50,000","1,708.45",
"22-AUG-2019","ALKEM","Alkem Laboratories Ltd.","DSP MUTUAL FUND","BUY","60,000","1,708.45",
"22-AUG-2019","ALKEM","Alkem Laboratories Ltd.","ICICI PRUDENTIAL MUTUAL FUND","BUY","2,00,000","1,708.50",
"22-AUG-2019","ALKEM","Alkem Laboratories Ltd.","KOTAK MAHINDRA MUTUAL FUND","BUY","1,00,000","1,708.45",
"22-AUG-2019","ALKEM","Alkem Laboratories Ltd.","PRASID UNO FAMILY TRUST","SELL","36,60,000","1,708.45",
"22-AUG-2019","ALKEM","Alkem Laboratories Ltd.","RELIANCE MUTUAL FUND","BUY","1,50,000","1,708.45",
"22-AUG-2019","ALKEM","Alkem Laboratories Ltd.","SBI MUTUAL FUND","BUY","24,00,000","1,708.45",
"27-AUG-2019","ASIANPAINT","Asian Paints Limited","GEETANJALI TRADING AND INVESTMENTS PRIVATE LIMITED","SELL","6,25,000","1,598.00",
"27-AUG-2019","ASIANPAINT","Asian Paints Limited","SATTVA HOLDING AND TRADING PRIVATE LIMITED","BUY","6,25,000","1,598.00",
"30-AUG-2019","GRUH","Gruh Finance Limited","ABERDEEN GLOBAL INDIAN EQUITY LIMITED","BUY","11,00,000","247.15",
"30-AUG-2019","GRUH","Gruh Finance Limited","AEMV","BUY","56,857","247.15",
"30-AUG-2019","GRUH","Gruh Finance Limited","AVAW","BUY","2,21,918","247.15",
"30-AUG-2019","GRUH","Gruh Finance Limited","AVENDUS ABSOLUTE RETURN FUND","BUY","20,97,600","247.15",
"30-AUG-2019","GRUH","Gruh Finance Limited","AVENDUS ALTERNATE INDIA FUND - AVENDUS ENHANCED RETURN FUND SERIES II","BUY","5,13,200","247.15",
"30-AUG-2019","GRUH","Gruh Finance Limited","AVENDUS ENHANCED RETURN FUND","BUY","8,89,200","247.15",
"30-AUG-2019","GRUH","Gruh Finance Limited","AVS-MF","BUY","1,05,302","247.15",
"30-AUG-2019","GRUH","Gruh Finance Limited","AXIS MUTUAL FUND","BUY","36,00,000","247.15",
"30-AUG-2019","GRUH","Gruh Finance Limited","BNP PARIBAS ARBITRAGE","BUY","4,10,000","247.15",
"30-AUG-2019","GRUH","Gruh Finance Limited","EMPLOYEES PROVIDENT FUND MANAGEDBY NOMURA ASSET MANAGEMENT","BUY","21,75,662","247.15",
"30-AUG-2019","GRUH","Gruh Finance Limited","EQUITY TRUSTEES LIMITED AS RESPONSIBLE ENTITY FOR T. ROWE PRICE ASIA EX-JAPAN FUND","BUY","36,418","247.15",
"30-AUG-2019","GRUH","Gruh Finance Limited","GOLDMAN SACHS SINGAPORE PTE","BUY","1,06,50,000","247.15",
"30-AUG-2019","GRUH","Gruh Finance Limited","HOUSING DEVELOPMENT FIN CORPN LTD","SELL","6,47,00,000","247.15",
"30-AUG-2019","GRUH","Gruh Finance Limited","IIFL SPECIAL OPPORTUNITIES FUND","BUY","12,36,640","247.15",
"30-AUG-2019","GRUH","Gruh Finance Limited","IIFL SPECIAL OPPORTUNITIES FUND - SERIES 4","BUY","16,51,666","247.15",
"30-AUG-2019","GRUH","Gruh Finance Limited","IIFL SPECIAL OPPORTUNITIES FUND - SERIES 5","BUY","11,88,953","247.15",
"30-AUG-2019","GRUH","Gruh Finance Limited","IIFL SPECIAL OPPORTUNITIES FUND SERIES 2","BUY","9,20,918","247.15",
"30-AUG-2019","GRUH","Gruh Finance Limited","IIFL SPECIAL OPPORTUNITIES FUND SERIES 7","BUY","12,96,260","247.15",
"30-AUG-2019","GRUH","Gruh Finance Limited","INTEGRATED CORE STRATEGIES ASIA PTE LTD","BUY","20,00,000","247.15",
"30-AUG-2019","GRUH","Gruh Finance Limited","ISHANA CAPITAL MASTER FUND","BUY","16,90,000","247.15",
"30-AUG-2019","GRUH","Gruh Finance Limited","JUPITER SOUTH ASIA INVESTMENT COMPANY LIMITED A/C SOUTH ASIA ACCESS FUND","BUY","25,00,000","247.15",
"30-AUG-2019","GRUH","Gruh Finance Limited","KOTAK MUTUAL FUND","BUY","4,10,000","247.15",
"30-AUG-2019","GRUH","Gruh Finance Limited","MASSACHUSETTS INSTITUTE OF TECHNOLOGY","BUY","4,55,563","247.15",
"30-AUG-2019","GRUH","Gruh Finance Limited","NEUBERGER BERMAN EMERGING MARKET STRATEGY","BUY","25,00,000","247.15",
"30-AUG-2019","GRUH","Gruh Finance Limited","NOMURA FUNDS IRELAND PLC - ASIA EX JAPAN HIGH CONVICTION FUND","BUY","1,45,044","247.15",
"30-AUG-2019","GRUH","Gruh Finance Limited","NOMURA FUNDS IRELAND PUBLIC LIMITED COMPANY NOMURA FUNDS IR","BUY","42,06,280","247.15",
"30-AUG-2019","GRUH","Gruh Finance Limited","SBI BLUE CHIP FUND","BUY","45,00,000","247.15",
"30-AUG-2019","GRUH","Gruh Finance Limited","SBI MAGNUM MIDCAP FUND","BUY","13,00,000","247.15",
"30-AUG-2019","GRUH","Gruh Finance Limited","STICHTING BEDRIJFSTAKPENSIOENFONDS VOOR HET BEROEPSVERVOER OVER DE WEG","BUY","4,25,733","247.15",
"30-AUG-2019","GRUH","Gruh Finance Limited","T ROWE PRICE FUNDS SICAV ASIAN EX JAPAN EQUITY FUND","BUY","6,50,520","247.15",
"30-AUG-2019","GRUH","Gruh Finance Limited","THE MASTER TRUST BANK OF JAPAN  LTD. NOMURA INDIA INVESTMENT FUND MOTHER FUND","BUY","1,23,28,752","247.15",
"30-AUG-2019","GRUH","Gruh Finance Limited","TINIESA","BUY","50,185","247.15",
"30-AUG-2019","GRUH","Gruh Finance Limited","TROWE PRICE NEW ASIA FUND","BUY","30,49,353","247.15",
"30-AUG-2019","GRUH","Gruh Finance Limited","VFM EMERGING MARKETS TRUST","BUY","3,37,976","247.15",
"12-SEP-2019","APOLLOHOSP","Apollo Hospitals Ltd","ABU DHABI INVESTMENT AUTHORITY - BEHAVE","BUY","9,65,000","1,482.50",
"12-SEP-2019","APOLLOHOSP","Apollo Hospitals Ltd","ATLAS SINGAPORE MASTER FD PTE. LTD","BUY","3,00,000","1,482.50",
"12-SEP-2019","APOLLOHOSP","Apollo Hospitals Ltd","AURIGIN MASTER FUND LIMITED","BUY","75,000","1,482.50",
"12-SEP-2019","APOLLOHOSP","Apollo Hospitals Ltd","BHARTI AXA LIFE INSURANCE CO LTD","BUY","98,000","1,482.50",
"12-SEP-2019","APOLLOHOSP","Apollo Hospitals Ltd","CITIGROUP GLOBAL MARKETS MAURITIUS PRIVATE LIMITED","BUY","2,85,000","1,482.50",
"12-SEP-2019","APOLLOHOSP","Apollo Hospitals Ltd","EASTSPRING INVESTMENTS INDIA CONSUMER EQUITY OPEN LIMITED","BUY","37,504","1,482.50",
"12-SEP-2019","APOLLOHOSP","Apollo Hospitals Ltd","EDELWEISS ALPHA FUND SCHEME I","BUY","70,000","1,482.50",
"12-SEP-2019","APOLLOHOSP","Apollo Hospitals Ltd","INTEGRATED CORE STRATEGIES ASIA PTE LTD","BUY","1,30,000","1,482.50",
"12-SEP-2019","APOLLOHOSP","Apollo Hospitals Ltd","J P MORGAN FUNDS","BUY","33,489","1,482.50",
"12-SEP-2019","APOLLOHOSP","Apollo Hospitals Ltd","JF INDIA EQUITY ACTIVE OPEN MOTHER FUND","BUY","5,567","1,482.50",
"12-SEP-2019","APOLLOHOSP","Apollo Hospitals Ltd","JPMORGAN INDIA FUND","BUY","40,269","1,482.50",
"12-SEP-2019","APOLLOHOSP","Apollo Hospitals Ltd","JPMORGAN INDIA SMALLER COMPANIES FUND","BUY","11,455","1,482.50",
"12-SEP-2019","APOLLOHOSP","Apollo Hospitals Ltd","JPMORGAN INDIAN INVESTMENT TRUST PLC","BUY","57,639","1,482.50",
"12-SEP-2019","APOLLOHOSP","Apollo Hospitals Ltd","KEY SQUARE MASTER FUND II LP ","BUY","61,500","1,482.50",
"12-SEP-2019","APOLLOHOSP","Apollo Hospitals Ltd","KEY SQUARE MASTER FUND LP ","BUY","1,78,500","1,482.50",
"12-SEP-2019","APOLLOHOSP","Apollo Hospitals Ltd","KUWAIT INVESTMENT AUTH FD 225","BUY","2,75,496","1,482.50",
"12-SEP-2019","APOLLOHOSP","Apollo Hospitals Ltd","NORGES BANK - GOVERNMENT PENSION FUND GLOBAL","BUY","2,40,000","1,482.50",
"12-SEP-2019","APOLLOHOSP","Apollo Hospitals Ltd","OPINDIA FUND","BUY","6,581","1,482.50",
"12-SEP-2019","APOLLOHOSP","Apollo Hospitals Ltd","SCHRODER INTERNATIONAL SELECTION FUND ASIAN OPPORTUNITIES","BUY","4,55,154","1,482.50",
"12-SEP-2019","APOLLOHOSP","Apollo Hospitals Ltd","SOCIETE GENERALE","BUY","13,58,000","1,482.50",
"12-SEP-2019","APOLLOHOSP","Apollo Hospitals Ltd","SUNEETA REDDY","SELL","50,00,000","1,482.50",
"12-SEP-2019","APOLLOHOSP","Apollo Hospitals Ltd","TRAFALGAR TRADING FUND INC","BUY","70,000","1,482.50",
"12-SEP-2019","APOLLOHOSP","Apollo Hospitals Ltd","VANGUARD INTERNATIONAL EXPLORER FUND","BUY","1,08,846","1,482.50",
"12-SEP-2019","APOLLOHOSP","Apollo Hospitals Ltd","WILLIAM BLAIR INTERNATIONAL","BUY","1,37,000","1,482.50",
"12-SEP-2019","ASIANPAINT","Asian Paints Limited","GEETANJALI TRADING AND INVESTMENTS PRIVATE LIMITED","SELL","6,30,000","1,570.00",
"12-SEP-2019","ASIANPAINT","Asian Paints Limited","SMITI HOLDING AND TRADING COMPANY PRIVATE LIMITED","BUY","6,30,000","1,570.00",
"16-SEP-2019","CGPOWER","CG Power & Ind. Sol. Ltd.","KKR INDIA DEBT OPPORTUNITIES FUND II","BUY","1,19,38,021","14.25",
"16-SEP-2019","CGPOWER","CG Power & Ind. Sol. Ltd.","KKR INDIA FINANCIAL SERVICES PRIVATE LIMITED","BUY","5,07,36,588","14.25",
"16-SEP-2019","CGPOWER","CG Power & Ind. Sol. Ltd.","VISTRA ITCL (INDIA) LIMITED","SELL","6,26,74,609","14.25",
"18-SEP-2019","CEATLTD","CEAT Limited","INDIA OPPORTUNITIES GROWTH FUND LTD PINEWOOD STRATEGY","BUY","2,30,000","901.00",
"18-SEP-2019","CEATLTD","CEAT Limited","SOCIETE CEAT D INVESTISSEMENTS EN ASIE S A SPF","SELL","2,30,000","901.00",
"23-SEP-2019","HDFC","HDFC Ltd.","AMERICAN FUNDS INSURANCE SERIES A/C INTERNATIONAL FUND","SELL","25,29,183","2,045.00",
"23-SEP-2019","HDFC","HDFC Ltd.","BNP PARIBAS ARBITRAGE","BUY","25,29,183","2,045.00",
"25-SEP-2019","EICHERMOT","Eicher Motors Ltd","HBOS FINAL SALARY PENSION SCHEME ","SELL","9,308","18,434.25",
"25-SEP-2019","EICHERMOT","Eicher Motors Ltd","LLOYDS BANK PENSION SCHEME NO 1","BUY","9,308","18,434.25",
"25-SEP-2019","HCLTECH","HCL Technologies Ltd.","HBOS FINAL SALARY PENSION SCHEME ","SELL","3,88,822","1,047.40",
"25-SEP-2019","HCLTECH","HCL Technologies Ltd.","LLOYDS BANK PENSION SCHEME NO 1","BUY","3,88,822","1,047.40",
"25-SEP-2019","HDFCBANK","HDFC Bank Ltd.","HBOS FINAL SALARY PENSION SCHEME ","SELL","82,456","1,253.80",
"25-SEP-2019","HDFCBANK","HDFC Bank Ltd.","LLOYDS BANK PENSION SCHEME NO 2","BUY","82,456","1,253.80",
"25-SEP-2019","INFRATEL","Bharti Infratel Ltd.","HBOS FINAL SALARY PENSION SCHEME ","SELL","6,91,105","257.65",
"25-SEP-2019","INFRATEL","Bharti Infratel Ltd.","LLOYDS BANK PENSION SCHEME NO 1","BUY","6,91,105","257.65",
"25-SEP-2019","ITC","ITC Ltd.","HBOS FINAL SALARY PENSION SCHEME ","SELL","11,38,578","256.00",
"25-SEP-2019","ITC","ITC Ltd.","LLOYDS BANK PENSION SCHEME NO 1","BUY","11,38,578","256.00",
"25-SEP-2019","POWERGRID","Power Grid Corporation of","HBOS FINAL SALARY PENSION SCHEME ","SELL","15,25,331","190.45",
"25-SEP-2019","POWERGRID","Power Grid Corporation of","LLOYDS BANK PENSION SCHEME NO 1","BUY","15,25,331","190.45",
"25-SEP-2019","ZEEL","Zee Entertain. Enterp.Ltd","HBOS FINAL SALARY PENSION SCHEME ","SELL","7,83,672","279.00",
"25-SEP-2019","ZEEL","Zee Entertain. Enterp.Ltd","LLOYDS BANK PENSION SCHEME NO 1","BUY","7,83,672","279.00",
"27-SEP-2019","RAMANEWS","Shree Rama Newsprint Ltd","PATEL KETANKUMAR","SELL","70,30,000","19.50",
"27-SEP-2019","RAMANEWS","Shree Rama Newsprint Ltd","RIDDHI SIDDHI GLUCO BIOLS LIMITED","BUY","70,30,000","19.50",
"30-SEP-2019","WHEELS","Wheels India Ltd","ICICI PRUDENTIAL EQUITY & DEBT FUND","BUY","4,80,200","552.00",
"30-SEP-2019","WHEELS","Wheels India Ltd","ICICI PRUDENTIAL MUTUAL FUND A/C ICICI PRUDENTIAL BALANCED ADVANTAGE FUND - WEALTH OPTIMIZER-BAF","BUY","1,81,200","552.00",
"30-SEP-2019","WHEELS","Wheels India Ltd","ICICI PRUDENTIAL MUTUAL FUND A/C ICICI PRUDENTIAL VALUE FUND - SERIES 8","BUY","7,503","552.00",
"30-SEP-2019","WHEELS","Wheels India Ltd","ICICI PRUDENTIAL MUTUAL FUND ICICI PRUDENTIAL MULTI-ASSET FUND","BUY","1,81,200","552.00",
"30-SEP-2019","WHEELS","Wheels India Ltd","IDFC STERLING VALUE FUND","BUY","5,43,000","552.00",
"30-SEP-2019","WHEELS","Wheels India Ltd","SUNDARAM FINANCE HOLDINGS LIMITED","BUY","6,01,614","552.00",
"30-SEP-2019","WHEELS","Wheels India Ltd","TITAN EUROPE LIMITED","SELL","19,94,717","552.00",
"09-OCT-2019","MOTILALOFS","Motilal Oswal Financial S","MOTILAL OSWAL","SELL","14,08,316","610.00",
"09-OCT-2019","MOTILALOFS","Motilal Oswal Financial S","PASSIONATE INVESTMENT MANAGEMENT PRIVATE LIMITED","BUY","28,16,632","610.00",
"09-OCT-2019","MOTILALOFS","Motilal Oswal Financial S","RAAMDEO AGRAWAL","SELL","14,08,316","610.00",
"01-NOV-2019","JYOTHYLAB","Jyothy Labs Limited","AURIGIN MASTER FUND LIMITED","BUY","5,77,000","173.40",
"01-NOV-2019","JYOTHYLAB","Jyothy Labs Limited","BAJAJ ALLIANZ LIFE INSURANCE COMPANY LIMITED","BUY","8,65,000","173.40",
"01-NOV-2019","JYOTHYLAB","Jyothy Labs Limited","ICICI LOMBARD GENERAL INSURANCE CO LTD","BUY","14,40,000","173.40",
"01-NOV-2019","JYOTHYLAB","Jyothy Labs Limited","MIRAE ASSET MUTUAL FUND","BUY","11,55,000","173.40",
"01-NOV-2019","JYOTHYLAB","Jyothy Labs Limited","RELIANCE MUTUAL FUND","BUY","69,20,000","173.40",
"01-NOV-2019","JYOTHYLAB","Jyothy Labs Limited","SAHYADRI AGENCIES LIMITED","SELL","1,29,17,000","173.40",
"01-NOV-2019","JYOTHYLAB","Jyothy Labs Limited","UTI MUTUAL FUND","BUY","19,60,000","173.40",
"06-NOV-2019","CEATLTD","CEAT Limited","INDIA OPPORTUNITIES GROWTH FUND LTD PINEWOOD STRATEGY","BUY","8,00,000","995.00",
"06-NOV-2019","CEATLTD","CEAT Limited","SOCIETE CEAT D INVESTISSEMENTS EN ASIE S A SPF","SELL","8,00,000","995.00",
"20-NOV-2019","INGERRAND","Ingersoll Rand Ltd.","INGERSOLL - RAND INDUSTRIAL US INC","BUY","2,33,60,000","621.30",
"20-NOV-2019","INGERRAND","Ingersoll Rand Ltd.","INGERSOLL RAND COMPANY","SELL","2,33,60,000","621.30",
"21-NOV-2019","ZEEL","Zee Entertain. Enterp.Ltd"," NEW SILK ROAD INVESTMENT","BUY","3,30,000","304.00",
"21-NOV-2019","ZEEL","Zee Entertain. Enterp.Ltd","AB SICAV I INDIA GROWTH PORTFOLIO","BUY","3,30,000","304.00",
"21-NOV-2019","ZEEL","Zee Entertain. Enterp.Ltd","AMERICAN FUNDS INSURANCE SERIES GLOBAL SMALL CAPITALIZATION FUND","BUY","18,26,508","304.00",
"21-NOV-2019","ZEEL","Zee Entertain. Enterp.Ltd","ATLAS MASTER FUND LTD","BUY","3,30,000","304.00",
"21-NOV-2019","ZEEL","Zee Entertain. Enterp.Ltd","AURIGIN MASTER FUND LIMITED","BUY","3,30,000","304.00",
"21-NOV-2019","ZEEL","Zee Entertain. Enterp.Ltd","AVENDUS ABSOLUTE RETURN FUND","BUY","12,00,000","304.00",
"21-NOV-2019","ZEEL","Zee Entertain. Enterp.Ltd","AXIS MUTUAL FUND","BUY","12,00,000","304.00",
"21-NOV-2019","ZEEL","Zee Entertain. Enterp.Ltd","BHARTI AXA LIFE INSURANCE COMPANY LIMITED","BUY","3,30,000","304.00",
"21-NOV-2019","ZEEL","Zee Entertain. Enterp.Ltd","BIRLA SUN LIFE INSURANCE CO LTD","BUY","18,00,000","304.00",
"21-NOV-2019","ZEEL","Zee Entertain. Enterp.Ltd","BLACKROCK EMERGING FRONTIERS MASTER FUND LIMITED","BUY","23,54,233","304.00",
"21-NOV-2019","ZEEL","Zee Entertain. Enterp.Ltd","BLACKROCK EMERGING MARKETSFUND","BUY","8,32,640","304.00",
"21-NOV-2019","ZEEL","Zee Entertain. Enterp.Ltd","BLACKROCK GLOBAL FUNDS EMERGING MARKETS FUND","BUY","20,35,736","304.00",
"21-NOV-2019","ZEEL","Zee Entertain. Enterp.Ltd","BLACKROCK INSTITUTIONAL EQUITY FUNDS-EMERGING MARKETS","BUY","1,15,346","304.00",
"21-NOV-2019","ZEEL","Zee Entertain. Enterp.Ltd","BLACKROCK STRATEGIC FD BLACKROCK EMER MKT AB RETURN FD","BUY","1,03,708","304.00",
"21-NOV-2019","ZEEL","Zee Entertain. Enterp.Ltd","BLACKROCK STRATEGIC FDS BLACKROCK EM MKT EQ STR FD","BUY","26,54,329","304.00",
"21-NOV-2019","ZEEL","Zee Entertain. Enterp.Ltd","BLRK GL EMG MKRTS FUND INC","BUY","14,04,008","304.00",
"21-NOV-2019","ZEEL","Zee Entertain. Enterp.Ltd","CANARA HSBC ORIENTAL BANK OF COMMERCE LIFE INSURANCE COMPANY LIMITED","BUY","3,30,000","304.00",
"21-NOV-2019","ZEEL","Zee Entertain. Enterp.Ltd","CITIGROUP GLOBAL MARKETS MAURITIUS PRIVATE LIMITED","BUY","20,00,000","304.00",
"21-NOV-2019","ZEEL","Zee Entertain. Enterp.Ltd","COPTHALL MAURITIUS INVESTMENT LIMITED","BUY","5,00,000","304.00",
"21-NOV-2019","ZEEL","Zee Entertain. Enterp.Ltd","CYQUATOR MEDIA SERVICES PRIVATE LIMITED","SELL","6,16,26,543","304.00",
"21-NOV-2019","ZEEL","Zee Entertain. Enterp.Ltd","DEUTSCHE ASSET MANAGEMENT","BUY","3,30,000","304.00",
"21-NOV-2019","ZEEL","Zee Entertain. Enterp.Ltd","EASTSPRING INVESTMENTS INDIA EQUITY FUND","BUY","23,00,000","304.00",
"21-NOV-2019","ZEEL","Zee Entertain. Enterp.Ltd","EDELWEISS ALPHA FUND SCHEME I","BUY","3,30,000","304.00",
"21-NOV-2019","ZEEL","Zee Entertain. Enterp.Ltd","EMPLOYEES PROVIDENT FUND BOARD","BUY","2,16,522","304.00",
"21-NOV-2019","ZEEL","Zee Entertain. Enterp.Ltd","ESSEL CORPORATE LLP","SELL","1,18,38,350","304.00",
"21-NOV-2019","ZEEL","Zee Entertain. Enterp.Ltd","ESSEL MEDIA VENTURES LIMITED","SELL","6,94,03,106","304.00",
"21-NOV-2019","ZEEL","Zee Entertain. Enterp.Ltd","FIDELITY FUNDS INDIA FOCUS FUND","BUY","15,10,041","304.00",
"21-NOV-2019","ZEEL","Zee Entertain. Enterp.Ltd","FIDELITY FUNDS SOUTH EAST ASIA FUND","BUY","37,27,426","304.00",
"21-NOV-2019","ZEEL","Zee Entertain. Enterp.Ltd","FIDELITY INDIA FUND","BUY","1,24,335","304.00",
"21-NOV-2019","ZEEL","Zee Entertain. Enterp.Ltd","FIDELITY INVESTMENT FUNDS ICVC FIDELITY EMERGING ASIA FUND","BUY","1,92,399","304.00",
